#MJD,cps,e_cps
60381.70744,5.000e-03,1.225e-02
60381.70976,-5.000e-03,1.000e-02
60381.71207,1.500e-02,1.414e-02
60381.71439,1.000e-02,1.323e-02
60381.71670,2.000e-02,1.500e-02
60381.77457,4.500e-02,1.871e-02
60381.77689,2.500e-02,1.581e-02
60381.77920,1.500e-02,1.414e-02
60381.78152,5.000e-03,1.225e-02
60381.78383,5.000e-03,1.225e-02
60381.84402,1.000e-02,1.323e-02
60381.84633,-1.500e-02,7.071e-03
60381.84865,1.000e-02,1.323e-02
60381.85096,-5.000e-03,1.000e-02
60381.91578,0.000e+00,1.118e-02
60381.91809,1.000e-02,1.323e-02
60382.11254,1.000e-02,1.323e-02
60382.17967,-5.000e-03,1.000e-02
60382.18198,5.000e-03,1.225e-02
60382.24680,0.000e+00,1.118e-02
60382.24911,0.000e+00,1.118e-02
60382.25143,0.000e+00,1.118e-02
60382.25374,-5.000e-03,1.000e-02
60382.31393,-1.000e-02,8.660e-03
60382.31624,5.000e-03,1.225e-02
60382.31856,-1.000e-02,8.660e-03
60382.32087,3.500e-02,1.732e-02
60382.32319,5.000e-03,1.225e-02
60382.38337,1.000e-02,1.323e-02
60382.38569,0.000e+00,1.118e-02
60382.38800,-5.000e-03,1.000e-02
60382.39031,5.000e-03,1.225e-02
60382.39263,-5.000e-03,1.000e-02
60382.45050,-1.000e-02,8.660e-03
60382.45281,-2.000e-02,5.000e-03
60382.45744,-1.500e-02,7.071e-03
60382.45976,0.000e+00,1.118e-02
60382.58476,-5.000e-03,1.000e-02
60382.58707,1.500e-02,1.414e-02
60382.58939,1.500e-02,1.414e-02
60382.59170,-1.000e-02,8.660e-03
60382.59402,-5.000e-03,1.000e-02
60382.65189,-1.500e-02,7.071e-03
60382.65420,1.000e-02,1.323e-02
60382.65652,-1.000e-02,8.660e-03
60382.65883,-5.000e-03,1.000e-02
60382.66115,5.000e-03,1.225e-02
60382.71902,1.000e-02,1.323e-02
60382.72133,5.000e-03,1.225e-02
60382.72365,0.000e+00,1.118e-02
60382.72596,5.000e-03,1.225e-02
60382.72828,-1.000e-02,8.660e-03
60382.78846,5.000e-03,1.225e-02
60382.79078,4.000e-02,1.803e-02
60382.79309,-5.000e-03,1.000e-02
60382.79541,1.500e-02,1.414e-02
