#MJD,cps,e_cps
60369.06918,1.001e-02,1.118e-01
60369.13284,1.217e-01,1.158e-01
60369.13400,7.385e-02,1.117e-01
60369.19302,2.195e-02,1.105e-01
60369.19418,3.047e-02,1.105e-01
60369.19534,-9.151e-03,1.076e-01
60369.19650,1.371e-01,1.142e-01
60369.19765,1.914e-01,1.224e-01
60369.25784,4.657e-01,1.301e-01
60369.25900,5.063e-01,1.321e-01
60369.26015,6.473e-01,1.352e-01
60369.26131,5.533e-01,1.317e-01
60369.26247,7.979e-01,1.429e-01
60369.26363,9.323e-01,1.517e-01
60369.32265,7.738e+00,3.038e-01
60369.32381,7.025e+00,2.905e-01
60369.32497,7.084e+00,2.922e-01
60369.32613,7.367e+00,2.968e-01
60369.32728,6.825e+00,2.872e-01
60369.38400,4.199e+00,2.494e-01
60369.38515,4.419e+00,2.481e-01
60369.38631,4.201e+00,2.383e-01
60369.38747,4.472e+00,2.414e-01
60369.38863,4.668e+00,2.551e-01
60369.44881,2.476e+00,2.126e-01
60369.44997,2.168e+00,1.967e-01
60369.45113,2.470e+00,1.981e-01
60369.45228,2.422e+00,1.927e-01
60369.51363,5.943e-01,1.599e-01
60369.51478,6.985e-01,1.501e-01
60369.51594,5.924e-01,1.385e-01
60369.51710,7.403e-01,1.389e-01
60369.57728,3.765e-01,1.658e-01
60369.57844,3.002e-01,1.466e-01
60369.57960,3.891e-01,1.378e-01
60369.58076,3.874e-01,1.293e-01
60369.58191,4.174e-01,1.265e-01
60369.64210,2.617e-01,1.535e-01
60369.64326,3.273e-01,1.447e-01
60369.64441,1.490e-01,1.238e-01
60369.64557,1.791e-01,1.208e-01
60369.64673,1.808e-01,1.152e-01
60369.70691,1.412e-01,1.423e-01
60369.70807,1.732e-01,1.331e-01
60369.70923,1.514e-01,1.228e-01
60369.71039,2.407e-01,1.233e-01
60369.71154,1.509e-01,1.132e-01
60369.77173,2.558e-01,1.463e-01
60369.77289,4.972e-02,1.276e-01
60369.77404,2.243e-01,1.258e-01
60369.77520,2.531e-01,1.233e-01
60369.84001,1.179e-01,1.175e-01
60369.84117,1.014e-01,1.147e-01
60369.84233,1.165e-01,1.132e-01
60369.84349,8.431e-02,1.121e-01
60369.90367,8.540e-02,1.228e-01
60369.90483,9.330e-02,1.183e-01
60369.90599,1.633e-02,1.117e-01
60369.90714,7.306e-02,1.120e-01
60369.90830,9.179e-02,1.127e-01
60369.96964,2.586e-02,1.126e-01
60369.97080,1.844e-01,1.185e-01
60369.97196,1.224e-01,1.155e-01
60369.97312,1.753e-01,1.175e-01
60370.03643,5.823e-02,1.165e-01
60370.03758,6.569e-02,1.153e-01
60370.16258,1.379e-01,1.187e-01
60370.16374,1.252e-01,1.143e-01
60370.16490,2.986e-01,1.235e-01
60370.16606,1.537e-01,1.169e-01
60370.22277,1.688e-01,1.244e-01
60370.22393,1.156e-01,1.185e-01
60370.22508,8.060e-02,1.138e-01
60370.22624,1.939e-01,1.193e-01
60370.22740,1.236e-01,1.150e-01
60370.28758,1.761e-01,1.270e-01
60370.28874,2.076e-01,1.232e-01
60370.28990,3.413e-01,1.248e-01
60370.29106,1.291e-01,1.176e-01
60370.29221,1.509e-01,1.187e-01
