#time(days),nu*L_nu(erg/s),err
1.582e+01,1.166e+43,4.274e+41
1.812e+01,1.279e+43,4.687e+41
1.915e+01,1.566e+43,5.740e+41
2.582e+01,2.798e+43,1.025e+42
2.865e+01,2.370e+43,6.515e+41
3.185e+01,1.865e+43,5.128e+41
3.526e+01,1.509e+43,1.660e+42
4.093e+01,1.006e+43,3.689e+41
4.402e+01,5.686e+42,3.126e+41
4.689e+01,7.224e+42,3.310e+41
4.932e+01,5.845e+42,3.213e+41
5.815e+01,4.516e+42,6.207e+41
6.188e+01,4.353e+42,2.792e+41
6.495e+01,3.862e+42,2.477e+41
6.724e+01,3.302e+42,2.723e+41
7.103e+01,2.984e+42,2.187e+41
7.718e+01,2.747e+42,2.013e+41
8.273e+01,1.798e+42,1.812e+41
8.752e+01,1.595e+42,1.754e+41
9.836e+01,1.006e+42,1.937e+41
1.093e+02,9.264e+41,1.528e+41
1.139e+02,8.929e+41,1.391e+41
1.183e+02,6.234e+41,1.371e+41
1.235e+02,5.791e+41,1.327e+41
1.290e+02,4.817e+41,1.677e+41
1.898e+02,2.957e+41,1.327e+41
8.428e+02,3.363e+41,6.164e+40
1.539e+03,3.212e+41,8.830e+39
